latitude,longitude,path,row,scan,track,acq_date,acq_time,satellite,confidence,daynight
32.901337,-82.655867,017,037,645,4885,2025-07-17,1600,L9,low,D
32.750468,-82.626813,017,037,727,5444,2025-07-17,1600,L9,low,D
32.750197,-82.626808,017,037,727,5445,2025-07-17,1600,L9,high,D
32.750201,-82.626488,017,037,728,5445,2025-07-17,1600,L9,high,D
32.749931,-82.626483,017,037,728,5446,2025-07-17,1600,L9,low,D
32.750205,-82.626168,017,037,729,5445,2025-07-17,1600,L9,high,D
32.749394,-82.626153,017,037,729,5448,2025-07-17,1600,L9,high,D
32.948343,-82.62016,017,037,759,4713,2025-07-17,1600,L9,high,D
32.948072,-82.620155,017,037,759,4714,2025-07-17,1600,L9,medium,D
32.567416,-82.552242,017,037,950,6124,2025-07-17,1600,L9,high,D
32.567146,-82.552237,017,037,950,6125,2025-07-17,1600,L9,high,D
32.56742,-82.551923,017,037,951,6124,2025-07-17,1600,L9,medium,D
32.56715,-82.551918,017,037,951,6125,2025-07-17,1600,L9,high,D
32.493043,-82.481679,017,037,1167,6402,2025-07-17,1600,L9,high,D
32.493318,-82.481364,017,037,1168,6401,2025-07-17,1600,L9,high,D
32.493047,-82.48136,017,037,1168,6402,2025-07-17,1600,L9,high,D
32.492776,-82.481355,017,037,1168,6403,2025-07-17,1600,L9,high,D
32.49278,-82.481036,017,037,1169,6403,2025-07-17,1600,L9,high,D
32.49251,-82.481031,017,037,1169,6404,2025-07-17,1600,L9,high,D
32.492239,-82.481027,017,037,1169,6405,2025-07-17,1600,L9,high,D
32.492513,-82.480712,017,037,1170,6404,2025-07-17,1600,L9,high,D
32.492243,-82.480708,017,037,1170,6405,2025-07-17,1600,L9,high,D
32.491972,-82.480703,017,037,1170,6406,2025-07-17,1600,L9,high,D
32.492517,-82.480393,017,037,1171,6404,2025-07-17,1600,L9,high,D
33.103319,-82.401824,017,037,1447,4150,2025-07-17,1600,L9,high,D
33.103048,-82.401819,017,037,1447,4151,2025-07-17,1600,L9,high,D
32.783254,-82.349694,017,037,1594,5335,2025-07-17,1600,L9,high,D
32.783257,-82.349373,017,037,1595,5335,2025-07-17,1600,L9,medium,D
32.74686,-82.311361,017,037,1712,5471,2025-07-17,1600,L9,high,D
32.746864,-82.311041,017,037,1713,5471,2025-07-17,1600,L9,high,D
32.746593,-82.311037,017,037,1713,5472,2025-07-17,1600,L9,high,D
32.747137,-82.310725,017,037,1714,5470,2025-07-17,1600,L9,high,D
32.746867,-82.310721,017,037,1714,5471,2025-07-17,1600,L9,high,D
32.747141,-82.310405,017,037,1715,5470,2025-07-17,1600,L9,high,D
32.74687,-82.310401,017,037,1715,5471,2025-07-17,1600,L9,high,D
32.747144,-82.310085,017,037,1716,5470,2025-07-17,1600,L9,high,D
32.746874,-82.310081,017,037,1716,5471,2025-07-17,1600,L9,high,D
32.746877,-82.30976,017,037,1717,5471,2025-07-17,1600,L9,high,D
32.746894,-82.30816,017,037,1722,5471,2025-07-17,1600,L9,high,D
32.746623,-82.308156,017,037,1722,5472,2025-07-17,1600,L9,high,D
32.746626,-82.307836,017,037,1723,5472,2025-07-17,1600,L9,high,D
32.746356,-82.307832,017,037,1723,5473,2025-07-17,1600,L9,high,D
32.862174,-82.307285,017,037,1730,5045,2025-07-17,1600,L9,high,D
32.861904,-82.307281,017,037,1730,5046,2025-07-17,1600,L9,high,D
32.861907,-82.30696,017,037,1731,5046,2025-07-17,1600,L9,high,D
33.523134,-82.260289,017,037,1906,2604,2025-07-17,1600,L9,high,D
33.522863,-82.260285,017,037,1906,2605,2025-07-17,1600,L9,high,D
33.523137,-82.259966,017,037,1907,2604,2025-07-17,1600,L9,high,D
33.522867,-82.259962,017,037,1907,2605,2025-07-17,1600,L9,low,D
33.279372,-82.231326,017,037,1985,3506,2025-07-17,1600,L9,high,D
33.565898,-82.147468,017,037,2257,2450,2025-07-17,1600,L9,low,D
32.97107,-82.128479,017,037,2292,4649,2025-07-17,1600,L9,high,D
33.165331,-82.069513,017,037,2483,3933,2025-07-17,1600,L9,low,D
33.16506,-82.069509,017,037,2483,3934,2025-07-17,1600,L9,low,D
33.07246,-82.044605,017,037,2557,4277,2025-07-17,1600,L9,low,D
33.294412,-82.035966,017,037,2592,3457,2025-07-17,1600,L9,high,D
33.294142,-82.035962,017,037,2592,3458,2025-07-17,1600,L9,high,D
33.584863,-81.9877,017,037,2752,2385,2025-07-17,1600,L9,low,D
33.824565,-81.883145,017,037,3083,1502,2025-07-17,1600,L9,high,D
33.39479,-81.859741,017,037,3142,3091,2025-07-17,1600,L9,high,D
33.715571,-81.797199,017,037,3345,1907,2025-07-17,1600,L9,low,D
32.387457,-81.755977,017,037,3437,6816,2025-07-17,1600,L9,medium,D
33.624557,-81.626881,017,037,3869,2247,2025-07-17,1600,L9,high,D
33.624286,-81.626879,017,037,3869,2248,2025-07-17,1600,L9,high,D
33.624288,-81.626556,017,037,3870,2248,2025-07-17,1600,L9,high,D
33.816679,-81.505747,017,037,4247,1539,2025-07-17,1600,L9,high,D
32.352857,-81.469061,017,037,4336,6949,2025-07-17,1600,L9,high,D
32.353129,-81.468743,017,037,4337,6948,2025-07-17,1600,L9,high,D
